Date,Variety,Price_Rs_per_Quintal,Market_Demand,Supply_Status
2017-03-16,MTU-1010,2389,High,Surplus
2017-03-23,BPT-5204,2501,Medium,Deficit
2017-03-23,JGL-1798,2219,Low,Surplus
2017-03-23,IR-64,2179,High,Normal
2017-03-23,Jyothi,2134,Low,Normal
2017-03-23,MTU-1010,2335,High,Deficit
2017-03-30,BPT-5204,2378,Medium,Surplus
2017-03-30,JGL-1798,2256,Low,Deficit
2017-03-30,IR-64,2127,Medium,Surplus
2017-03-30,Jyothi,2134,Low,Normal
2017-03-30,MTU-1010,2280,Low,Surplus
2017-04-06,BPT-5204,2457,Medium,Surplus
2017-04-06,JGL-1798,2377,Low,Deficit
2017-04-06,IR-64,2168,Medium,Surplus
2017-04-06,Jyothi,2047,Medium,Surplus
2017-04-06,MTU-1010,2468,Low,Normal
2017-04-13,BPT-5204,2322,High,Normal
2017-04-13,JGL-1798,2424,Low,Normal
2017-04-13,IR-64,2118,Medium,Surplus
2017-04-13,Jyothi,2106,Low,Surplus
2017-04-13,MTU-1010,2337,Low,Normal
2017-04-20,BPT-5204,2381,High,Deficit
2017-04-20,JGL-1798,2268,Low,Normal
2017-04-20,IR-64,2163,Medium,Normal
2017-04-20,Jyothi,2086,High,Surplus
2017-04-20,MTU-1010,2358,Low,Deficit
2017-04-27,BPT-5204,2329,High,Normal
2017-04-27,JGL-1798,2220,High,Normal
2017-04-27,IR-64,2157,Low,Normal
2017-04-27,Jyothi,2152,High,Normal
2017-04-27,MTU-1010,2266,High,Surplus
2017-05-04,BPT-5204,2426,Low,Surplus
2017-05-04,JGL-1798,2374,Low,Surplus
2017-05-04,IR-64,2309,High,Deficit
2017-05-04,Jyothi,2113,Medium,Surplus
2017-05-04,MTU-1010,2305,Medium,Normal
2017-05-11,BPT-5204,2473,Medium,Surplus
2017-05-11,JGL-1798,2233,Low,Surplus
2017-05-11,IR-64,2220,Low,Surplus
2017-05-11,Jyothi,2135,Low,Normal
2017-05-11,MTU-1010,2331,Medium,Normal
2017-05-18,BPT-5204,2357,High,Normal
2017-05-18,JGL-1798,2240,High,Surplus
2017-05-18,IR-64,2245,Low,Surplus
2017-05-18,Jyothi,2159,High,Deficit
2017-05-18,MTU-1010,2444,Medium,Deficit
2017-05-25,BPT-5204,2389,Low,Deficit
2017-05-25,JGL-1798,2262,Medium,Surplus
2017-05-25,IR-64,2225,Medium,Deficit
2017-05-25,Jyothi,2102,High,Surplus
2017-05-25,MTU-1010,2460,Medium,Surplus
2017-06-01,BPT-5204,2650,Low,Normal
2017-06-01,JGL-1798,2510,Medium,Normal
2017-06-01,IR-64,2304,High,Deficit
2017-06-01,Jyothi,2199,Low,Deficit
2017-06-01,MTU-1010,2628,Low,Surplus
2017-06-08,BPT-5204,2504,Low,Normal
2017-06-08,JGL-1798,2552,Low,Surplus
2017-06-08,IR-64,2281,Medium,Deficit
2017-06-08,Jyothi,2311,High,Surplus
2017-06-08,MTU-1010,2688,Medium,Surplus
2017-06-15,BPT-5204,2541,High,Normal
2017-06-15,JGL-1798,2566,High,Surplus
2017-06-15,IR-64,2261,Low,Surplus
2017-06-15,Jyothi,2345,Medium,Deficit
2017-06-15,MTU-1010,2681,High,Deficit
2017-06-22,BPT-5204,2672,High,Surplus
2017-06-22,JGL-1798,2499,High,Deficit
2017-06-22,IR-64,2452,High,Normal
2017-06-22,Jyothi,2240,Medium,Surplus
2017-06-22,MTU-1010,2525,High,Normal
2017-06-29,BPT-5204,2645,Low,Normal
2017-06-29,JGL-1798,2472,Medium,Deficit
2017-06-29,IR-64,2414,Medium,Normal
2017-06-29,Jyothi,2188,Medium,Surplus
2017-06-29,MTU-1010,2534,Low,Normal
2017-07-06,BPT-5204,2628,High,Deficit
2017-07-06,JGL-1798,2455,High,Deficit
2017-07-06,IR-64,2405,Low,Surplus
2017-07-06,Jyothi,2268,High,Surplus
2017-07-06,MTU-1010,2542,Low,Deficit
2017-07-13,BPT-5204,2690,Medium,Surplus
2017-07-13,JGL-1798,2374,Medium,Surplus
2017-07-13,IR-64,2349,Low,Surplus
2017-07-13,Jyothi,2336,Medium,Normal
2017-07-13,MTU-1010,2683,High,Deficit
2017-07-20,BPT-5204,2538,Low,Normal
2017-07-20,JGL-1798,2590,Medium,Deficit
2017-07-20,IR-64,2426,Low,Surplus
2017-07-20,Jyothi,2316,Medium,Surplus
2017-07-20,MTU-1010,2663,Medium,Normal
2017-07-27,BPT-5204,2713,Medium,Deficit
2017-07-27,JGL-1798,2532,Low,Normal
2017-07-27,IR-64,2407,High,Normal
2017-07-27,Jyothi,2265,Medium,Deficit
2017-07-27,MTU-1010,2545,High,Surplus
2017-08-03,BPT-5204,2580,Low,Normal
2017-08-03,JGL-1798,2568,Medium,Surplus
2017-08-03,IR-64,2398,Low,Surplus
2017-08-03,Jyothi,2194,Medium,Deficit
2017-08-03,MTU-1010,2479,Low,Normal
2017-08-10,BPT-5204,2625,Low,Surplus
2017-08-10,JGL-1798,2432,Medium,Normal
2017-08-10,IR-64,2412,Medium,Deficit
2017-08-10,Jyothi,2240,Low,Deficit
2017-08-10,MTU-1010,2611,Low,Deficit
2017-08-17,BPT-5204,2668,Low,Deficit
2017-08-17,JGL-1798,2564,Low,Surplus
2017-08-17,IR-64,2460,Low,Normal
2017-08-17,Jyothi,2290,Low,Normal
2017-08-17,MTU-1010,2693,Medium,Normal
2017-08-24,BPT-5204,2698,High,Surplus
2017-08-24,JGL-1798,2569,Low,Surplus
2017-08-24,IR-64,2373,High,Deficit
2017-08-24,Jyothi,2259,Low,Deficit
2017-08-24,MTU-1010,2501,Low,Normal
2017-08-31,BPT-5204,2721,High,Normal
2017-08-31,JGL-1798,2590,Low,Deficit
2017-08-31,IR-64,2443,High,Normal
2017-08-31,Jyothi,2246,Medium,Normal
2017-08-31,MTU-1010,2471,High,Deficit
2017-09-07,BPT-5204,2535,Low,Deficit
2017-09-07,JGL-1798,2264,High,Surplus
2017-09-07,IR-64,2281,Low,Deficit
2017-09-07,Jyothi,2075,High,Normal
2017-09-07,MTU-1010,2400,High,Deficit
2017-09-14,BPT-5204,2477,Low,Normal
2017-09-14,JGL-1798,2350,High,Deficit
2017-09-14,IR-64,2237,Low,Surplus
2017-09-14,Jyothi,2184,Low,Surplus
2017-09-14,MTU-1010,2290,Medium,Deficit
2017-09-21,BPT-5204,2539,High,Deficit
2017-09-21,JGL-1798,2363,Low,Normal
2017-09-21,IR-64,2240,High,Deficit
2017-09-21,Jyothi,2183,Medium,Surplus
2017-09-21,MTU-1010,2356,Low,Surplus
2017-09-28,BPT-5204,2305,High,Deficit
2017-09-28,JGL-1798,2355,High,Deficit
2017-09-28,IR-64,2096,Medium,Surplus
2017-09-28,Jyothi,2100,Medium,Normal
2017-09-28,MTU-1010,2463,Medium,Surplus
2017-10-05,BPT-5204,2366,Medium,Surplus
2017-10-05,JGL-1798,2210,High,Surplus
2017-10-05,IR-64,2174,Low,Normal
2017-10-05,Jyothi,2091,Low,Surplus
2017-10-05,MTU-1010,2314,Low,Normal
2017-10-12,BPT-5204,2444,High,Deficit
2017-10-12,JGL-1798,2336,Medium,Surplus
2017-10-12,IR-64,2094,Medium,Normal
2017-10-12,Jyothi,2038,Low,Deficit
2017-10-12,MTU-1010,2467,High,Surplus
2017-10-19,BPT-5204,2440,High,Normal
2017-10-19,JGL-1798,2194,High,Surplus
2017-10-19,IR-64,2130,Low,Normal
2017-10-19,Jyothi,2136,Medium,Normal
2017-10-19,MTU-1010,2412,High,Deficit
2017-10-26,BPT-5204,2309,Medium,Surplus
2017-10-26,JGL-1798,2419,High,Surplus
2017-10-26,IR-64,2112,Low,Surplus
2017-10-26,Jyothi,2181,Low,Deficit
2017-10-26,MTU-1010,2261,Medium,Surplus
2017-11-02,BPT-5204,2323,Medium,Deficit
2017-11-02,JGL-1798,2085,High,Normal
2017-11-02,IR-64,2111,High,Normal
2017-11-02,Jyothi,1927,High,Normal
2017-11-02,MTU-1010,2190,High,Surplus
2017-11-09,BPT-5204,2242,Low,Normal
2017-11-09,JGL-1798,2179,High,Surplus
2017-11-09,IR-64,2088,High,Surplus
2017-11-09,Jyothi,1857,Medium,Surplus
2017-11-09,MTU-1010,2154,Low,Surplus
2017-11-16,BPT-5204,2184,Medium,Surplus
2017-11-16,JGL-1798,2142,Low,Normal
2017-11-16,IR-64,1978,High,Normal
2017-11-16,Jyothi,2006,Low,Surplus
2017-11-16,MTU-1010,2138,High,Surplus
2017-11-23,BPT-5204,2193,Low,Surplus
2017-11-23,JGL-1798,2048,Medium,Deficit
2017-11-23,IR-64,2045,Low,Surplus
2017-11-23,Jyothi,1837,Medium,Surplus
2017-11-23,MTU-1010,2215,Low,Normal
2017-11-30,BPT-5204,2127,Medium,Surplus
2017-11-30,JGL-1798,2143,High,Deficit
2017-11-30,IR-64,1961,High,Surplus
2017-11-30,Jyothi,1905,Low,Normal
2017-11-30,MTU-1010,2271,Medium,Normal
2017-12-07,BPT-5204,2181,Medium,Normal
2017-12-07,JGL-1798,2068,Medium,Surplus
2017-12-07,IR-64,2115,Medium,Surplus
2017-12-07,Jyothi,1989,High,Normal
2017-12-07,MTU-1010,2103,Medium,Deficit
2017-12-14,BPT-5204,2268,Medium,Normal
2017-12-14,JGL-1798,2032,Medium,Surplus
2017-12-14,IR-64,1996,Medium,Surplus
2017-12-14,Jyothi,1997,Medium,Normal
2017-12-14,MTU-1010,2215,Medium,Normal
2017-12-21,BPT-5204,2329,High,Surplus
2017-12-21,JGL-1798,2230,High,Surplus
2017-12-21,IR-64,2086,High,Surplus
2017-12-21,Jyothi,1989,Low,Normal
2017-12-21,MTU-1010,2141,Medium,Deficit
2017-12-28,BPT-5204,2196,Low,Surplus
2017-12-28,JGL-1798,2091,Medium,Surplus
2017-12-28,IR-64,2022,High,Surplus
2017-12-28,Jyothi,1960,Low,Deficit
2017-12-28,MTU-1010,2156,Medium,Surplus
2018-01-04,BPT-5204,2345,Medium,Normal
2018-01-04,JGL-1798,2237,Low,Surplus
2018-01-04,IR-64,2193,Medium,Normal
2018-01-04,Jyothi,1969,Low,Normal
2018-01-04,MTU-1010,2387,High,Normal
2018-01-11,BPT-5204,2391,Low,Surplus
2018-01-11,JGL-1798,2301,Medium,Normal
2018-01-11,IR-64,2054,High,Normal
2018-01-11,Jyothi,1965,High,Normal
2018-01-11,MTU-1010,2278,High,Deficit
2018-01-18,BPT-5204,2328,High,Deficit
2018-01-18,JGL-1798,2279,Low,Surplus
2018-01-18,IR-64,2075,Low,Surplus
2018-01-18,Jyothi,2063,Low,Deficit
2018-01-18,MTU-1010,2366,Low,Deficit
2018-01-25,BPT-5204,2258,Medium,Surplus
2018-01-25,JGL-1798,2131,Medium,Deficit
2018-01-25,IR-64,2061,Low,Deficit
2018-01-25,Jyothi,1926,Medium,Surplus
2018-01-25,MTU-1010,2376,Medium,Surplus
2018-02-01,BPT-5204,2489,Medium,Deficit
2018-02-01,JGL-1798,2429,Medium,Surplus
2018-02-01,IR-64,2401,Medium,Deficit
2018-02-01,Jyothi,2149,Medium,Deficit
2018-02-01,MTU-1010,2532,Low,Deficit
2018-02-08,BPT-5204,2624,Low,Surplus
2018-02-08,JGL-1798,2422,Low,Surplus
2018-02-08,IR-64,2214,Medium,Deficit
2018-02-08,Jyothi,2278,Low,Deficit
2018-02-08,MTU-1010,2374,High,Deficit
2018-02-15,BPT-5204,2451,Medium,Surplus
2018-02-15,JGL-1798,2314,Low,Deficit
2018-02-15,IR-64,2317,Low,Normal
2018-02-15,Jyothi,2183,High,Normal
2018-02-15,MTU-1010,2526,Medium,Surplus
2018-02-22,BPT-5204,2453,High,Surplus
2018-02-22,JGL-1798,2434,High,Deficit
2018-02-22,IR-64,2341,High,Surplus
2018-02-22,Jyothi,2214,Medium,Normal
2018-02-22,MTU-1010,2408,Low,Deficit
2018-03-01,BPT-5204,2545,High,Normal
2018-03-01,JGL-1798,2452,Medium,Surplus
2018-03-01,IR-64,2215,High,Deficit
2018-03-01,Jyothi,2153,Low,Deficit
2018-03-01,MTU-1010,2485,High,Normal
2018-03-08,BPT-5204,2551,Low,Surplus
2018-03-08,JGL-1798,2513,Low,Deficit
2018-03-08,IR-64,2304,High,Deficit
2018-03-08,Jyothi,2216,High,Surplus
2018-03-08,MTU-1010,2494,Low,Deficit
2018-03-15,BPT-5204,2588,High,Surplus
2018-03-15,JGL-1798,2305,High,Surplus
2018-03-15,IR-64,2274,Medium,Deficit
2018-03-15,Jyothi,2087,High,Surplus
2018-03-15,MTU-1010,2405,Medium,Normal
2018-03-22,BPT-5204,2544,Medium,Normal
2018-03-22,JGL-1798,2371,High,Deficit
2018-03-22,IR-64,2319,Low,Normal
2018-03-22,Jyothi,2162,High,Normal
2018-03-22,MTU-1010,2555,Low,Normal
2018-03-29,BPT-5204,2470,Low,Deficit
2018-03-29,JGL-1798,2535,Medium,Surplus
2018-03-29,IR-64,2370,High,Deficit
2018-03-29,Jyothi,2197,Medium,Normal
2018-03-29,MTU-1010,2461,High,Normal
2018-04-05,BPT-5204,2433,High,Surplus
2018-04-05,JGL-1798,2503,Medium,Normal
2018-04-05,IR-64,2270,High,Deficit
2018-04-05,Jyothi,2119,Low,Surplus
2018-04-05,MTU-1010,2458,Medium,Normal
2018-04-12,BPT-5204,2507,Low,Deficit
2018-04-12,JGL-1798,2365,Medium,Normal
2018-04-12,IR-64,2197,Low,Normal
2018-04-12,Jyothi,2190,Low,Deficit
2018-04-12,MTU-1010,2440,Low,Surplus
2018-04-19,BPT-5204,2651,Medium,Surplus
2018-04-19,JGL-1798,2488,Medium,Deficit
2018-04-19,IR-64,2296,High,Normal
2018-04-19,Jyothi,2202,Medium,Normal
2018-04-19,MTU-1010,2596,High,Surplus
2018-04-26,BPT-5204,2554,Medium,Deficit
2018-04-26,JGL-1798,2519,Low,Deficit
2018-04-26,IR-64,2364,Medium,Surplus
2018-04-26,Jyothi,2132,High,Normal
2018-04-26,MTU-1010,2466,High,Deficit
2018-05-03,BPT-5204,2470,Medium,Deficit
2018-05-03,JGL-1798,2317,Medium,Surplus
2018-05-03,IR-64,2279,High,Surplus
2018-05-03,Jyothi,2271,Medium,Deficit
2018-05-03,MTU-1010,2406,Low,Surplus
2018-05-10,BPT-5204,2573,High,Surplus
2018-05-10,JGL-1798,2481,Low,Deficit
2018-05-10,IR-64,2263,High,Normal
2018-05-10,Jyothi,2191,Low,Deficit
2018-05-10,MTU-1010,2416,Low,Surplus
2018-05-17,BPT-5204,2501,Medium,Normal
2018-05-17,JGL-1798,2391,Medium,Surplus
2018-05-17,IR-64,2385,Low,Surplus
2018-05-17,Jyothi,2222,High,Deficit
2018-05-17,MTU-1010,2455,Medium,Surplus
2018-05-24,BPT-5204,2557,High,Deficit
2018-05-24,JGL-1798,2305,Low,Deficit
2018-05-24,IR-64,2225,Medium,Deficit
2018-05-24,Jyothi,2138,Low,Normal
2018-05-24,MTU-1010,2501,High,Surplus
2018-05-31,BPT-5204,2540,Low,Normal
2018-05-31,JGL-1798,2326,Medium,Normal
2018-05-31,IR-64,2259,High,Normal
2018-05-31,Jyothi,2253,High,Normal
2018-05-31,MTU-1010,2436,Low,Surplus
2018-06-07,BPT-5204,2844,High,Deficit
2018-06-07,JGL-1798,2655,Medium,Deficit
2018-06-07,IR-64,2598,Medium,Deficit
2018-06-07,Jyothi,2398,High,Deficit
2018-06-07,MTU-1010,2603,High,Normal
2018-06-14,BPT-5204,2750,Medium,Surplus
2018-06-14,JGL-1798,2561,Low,Normal
2018-06-14,IR-64,2411,Low,Surplus
2018-06-14,Jyothi,2300,High,Deficit
2018-06-14,MTU-1010,2750,Low,Surplus
2018-06-21,BPT-5204,2613,High,Normal
2018-06-21,JGL-1798,2681,Medium,Deficit
2018-06-21,IR-64,2397,Medium,Surplus
2018-06-21,Jyothi,2455,Medium,Deficit
2018-06-21,MTU-1010,2574,Medium,Surplus
2018-06-28,BPT-5204,2808,High,Deficit
2018-06-28,JGL-1798,2710,Medium,Normal
2018-06-28,IR-64,2561,Medium,Surplus
2018-06-28,Jyothi,2457,Low,Normal
2018-06-28,MTU-1010,2651,Low,Deficit
2018-07-05,BPT-5204,2720,High,Deficit
2018-07-05,JGL-1798,2521,Medium,Deficit
2018-07-05,IR-64,2428,Low,Normal
2018-07-05,Jyothi,2268,High,Normal
2018-07-05,MTU-1010,2578,Medium,Surplus
2018-07-12,BPT-5204,2838,Medium,Normal
2018-07-12,JGL-1798,2481,Medium,Deficit
2018-07-12,IR-64,2514,Medium,Surplus
2018-07-12,Jyothi,2382,Medium,Surplus
2018-07-12,MTU-1010,2749,Low,Deficit
2018-07-19,BPT-5204,2777,Medium,Normal
2018-07-19,JGL-1798,2670,High,Deficit
2018-07-19,IR-64,2590,Medium,Normal
2018-07-19,Jyothi,2254,Low,Surplus
2018-07-19,MTU-1010,2617,High,Surplus
2018-07-26,BPT-5204,2636,High,Deficit
2018-07-26,JGL-1798,2660,High,Surplus
2018-07-26,IR-64,2531,Low,Normal
2018-07-26,Jyothi,2457,High,Deficit
2018-07-26,MTU-1010,2774,Medium,Surplus
2018-08-02,BPT-5204,2787,Low,Normal
2018-08-02,JGL-1798,2538,Medium,Deficit
2018-08-02,IR-64,2440,Medium,Normal
2018-08-02,Jyothi,2266,High,Deficit
2018-08-02,MTU-1010,2706,Low,Normal
2018-08-09,BPT-5204,2746,Medium,Surplus
2018-08-09,JGL-1798,2565,High,Surplus
2018-08-09,IR-64,2604,Medium,Normal
2018-08-09,Jyothi,2360,Medium,Deficit
2018-08-09,MTU-1010,2748,High,Surplus
2018-08-16,BPT-5204,2859,High,Surplus
2018-08-16,JGL-1798,2618,High,Normal
2018-08-16,IR-64,2399,Low,Normal
2018-08-16,Jyothi,2431,Medium,Deficit
2018-08-16,MTU-1010,2581,High,Surplus
2018-08-23,BPT-5204,2857,Low,Normal
2018-08-23,JGL-1798,2677,High,Normal
2018-08-23,IR-64,2421,Medium,Normal
2018-08-23,Jyothi,2293,Medium,Normal
2018-08-23,MTU-1010,2586,Medium,Deficit
2018-08-30,BPT-5204,2749,Medium,Deficit
2018-08-30,JGL-1798,2635,High,Deficit
2018-08-30,IR-64,2372,High,Deficit
2018-08-30,Jyothi,2405,High,Deficit
2018-08-30,MTU-1010,2610,Medium,Deficit
2018-09-06,BPT-5204,2536,Low,Normal
2018-09-06,JGL-1798,2315,Medium,Deficit
2018-09-06,IR-64,2342,High,Surplus
2018-09-06,Jyothi,2204,Medium,Surplus
2018-09-06,MTU-1010,2548,Medium,Surplus
2018-09-13,BPT-5204,2443,High,Normal
2018-09-13,JGL-1798,2356,Low,Surplus
2018-09-13,IR-64,2262,Medium,Normal
2018-09-13,Jyothi,2247,Medium,Normal
2018-09-13,MTU-1010,2570,High,Surplus
2018-09-20,BPT-5204,2456,Low,Normal
2018-09-20,JGL-1798,2337,Low,Surplus
2018-09-20,IR-64,2261,High,Normal
2018-09-20,Jyothi,2100,High,Deficit
2018-09-20,MTU-1010,2456,Low,Normal
2018-09-27,BPT-5204,2456,High,Normal
2018-09-27,JGL-1798,2312,Low,Normal
2018-09-27,IR-64,2302,Medium,Deficit
2018-09-27,Jyothi,2292,Low,Surplus
2018-09-27,MTU-1010,2382,Medium,Normal
2018-10-04,BPT-5204,2614,Low,Normal
2018-10-04,JGL-1798,2430,Low,Surplus
2018-10-04,IR-64,2391,Low,Surplus
2018-10-04,Jyothi,2265,Low,Deficit
2018-10-04,MTU-1010,2505,Low,Deficit
2018-10-11,BPT-5204,2602,Low,Surplus
2018-10-11,JGL-1798,2339,Low,Surplus
2018-10-11,IR-64,2303,Medium,Normal
2018-10-11,Jyothi,2271,Low,Deficit
2018-10-11,MTU-1010,2560,Low,Deficit
2018-10-18,BPT-5204,2547,High,Surplus
2018-10-18,JGL-1798,2343,High,Deficit
2018-10-18,IR-64,2279,Medium,Normal
2018-10-18,Jyothi,2206,Low,Deficit
2018-10-18,MTU-1010,2411,High,Deficit
2018-10-25,BPT-5204,2560,Low,Surplus
2018-10-25,JGL-1798,2451,Low,Deficit
2018-10-25,IR-64,2243,Medium,Surplus
2018-10-25,Jyothi,2079,Medium,Surplus
2018-10-25,MTU-1010,2393,High,Normal
2018-11-01,BPT-5204,2291,High,Normal
2018-11-01,JGL-1798,2244,High,Deficit
2018-11-01,IR-64,2146,Low,Deficit
2018-11-01,Jyothi,1962,Low,Surplus
2018-11-01,MTU-1010,2175,Medium,Normal
2018-11-08,BPT-5204,2421,Low,Deficit
2018-11-08,JGL-1798,2133,Low,Surplus
2018-11-08,IR-64,2118,Low,Normal
2018-11-08,Jyothi,2092,Medium,Deficit
2018-11-08,MTU-1010,2208,Low,Normal
2018-11-15,BPT-5204,2283,High,Normal
2018-11-15,JGL-1798,2289,High,Deficit
2018-11-15,IR-64,2133,Medium,Deficit
2018-11-15,Jyothi,2079,High,Surplus
2018-11-15,MTU-1010,2355,High,Normal
2018-11-22,BPT-5204,2427,High,Surplus
2018-11-22,JGL-1798,2150,High,Normal
2018-11-22,IR-64,2014,Low,Surplus
2018-11-22,Jyothi,2096,Medium,Deficit
2018-11-22,MTU-1010,2307,Low,Surplus
2018-11-29,BPT-5204,2220,Medium,Normal
2018-11-29,JGL-1798,2252,Low,Surplus
2018-11-29,IR-64,2100,Low,Normal
2018-11-29,Jyothi,1951,Low,Deficit
2018-11-29,MTU-1010,2207,Low,Normal
2018-12-06,BPT-5204,2341,Medium,Normal
2018-12-06,JGL-1798,2115,Low,Normal
2018-12-06,IR-64,2168,Low,Normal
2018-12-06,Jyothi,2057,Medium,Deficit
2018-12-06,MTU-1010,2346,Medium,Surplus
2018-12-13,BPT-5204,2388,High,Normal
2018-12-13,JGL-1798,2287,Medium,Normal
2018-12-13,IR-64,2010,High,Normal
2018-12-13,Jyothi,2004,High,Deficit
2018-12-13,MTU-1010,2203,Low,Normal
2018-12-20,BPT-5204,2330,Medium,Surplus
2018-12-20,JGL-1798,2304,High,Deficit
2018-12-20,IR-64,2104,High,Normal
2018-12-20,Jyothi,2074,Low,Surplus
2018-12-20,MTU-1010,2218,Medium,Surplus
2018-12-27,BPT-5204,2214,Medium,Deficit
2018-12-27,JGL-1798,2317,High,Deficit
2018-12-27,IR-64,2151,Low,Deficit
2018-12-27,Jyothi,1943,Medium,Surplus
2018-12-27,MTU-1010,2220,Medium,Deficit
2019-01-03,BPT-5204,2442,Low,Deficit
2019-01-03,JGL-1798,2292,High,Normal
2019-01-03,IR-64,2245,High,Normal
2019-01-03,Jyothi,2124,Medium,Surplus
2019-01-03,MTU-1010,2450,Low,Deficit
2019-01-10,BPT-5204,2344,High,Surplus
2019-01-10,JGL-1798,2432,High,Surplus
2019-01-10,IR-64,2280,Medium,Normal
2019-01-10,Jyothi,2008,Low,Deficit
2019-01-10,MTU-1010,2279,Medium,Surplus
2019-01-17,BPT-5204,2495,Low,Deficit
2019-01-17,JGL-1798,2344,High,Surplus
2019-01-17,IR-64,2197,Medium,Surplus
2019-01-17,Jyothi,2150,Medium,Deficit
2019-01-17,MTU-1010,2303,High,Deficit
2019-01-24,BPT-5204,2402,Low,Surplus
2019-01-24,JGL-1798,2272,Low,Surplus
2019-01-24,IR-64,2295,High,Deficit
2019-01-24,Jyothi,2020,Low,Deficit
2019-01-24,MTU-1010,2287,High,Normal
2019-01-31,BPT-5204,2370,High,Normal
2019-01-31,JGL-1798,2211,Low,Surplus
2019-01-31,IR-64,2287,High,Deficit
2019-01-31,Jyothi,2030,Medium,Surplus
2019-01-31,MTU-1010,2279,Low,Surplus
2019-02-07,BPT-5204,2734,Low,Deficit
2019-02-07,JGL-1798,2593,High,Normal
2019-02-07,IR-64,2357,High,Surplus
2019-02-07,Jyothi,2341,High,Normal
2019-02-07,MTU-1010,2529,Low,Normal
2019-02-14,BPT-5204,2750,Low,Surplus
2019-02-14,JGL-1798,2643,High,Normal
2019-02-14,IR-64,2517,High,Deficit
2019-02-14,Jyothi,2374,Medium,Deficit
2019-02-14,MTU-1010,2542,Medium,Deficit
2019-02-21,BPT-5204,2718,Low,Deficit
2019-02-21,JGL-1798,2582,Low,Normal
2019-02-21,IR-64,2346,Low,Normal
2019-02-21,Jyothi,2245,Medium,Surplus
2019-02-21,MTU-1010,2564,Medium,Deficit
2019-02-28,BPT-5204,2709,High,Surplus
2019-02-28,JGL-1798,2417,Medium,Surplus
2019-02-28,IR-64,2424,High,Surplus
2019-02-28,Jyothi,2283,Low,Deficit
2019-02-28,MTU-1010,2602,Medium,Normal
2019-03-07,BPT-5204,2565,Medium,Deficit
2019-03-07,JGL-1798,2614,High,Surplus
2019-03-07,IR-64,2422,High,Surplus
2019-03-07,Jyothi,2371,Medium,Normal
2019-03-07,MTU-1010,2481,Low,Surplus
2019-03-14,BPT-5204,2735,Low,Surplus
2019-03-14,JGL-1798,2543,Medium,Normal
2019-03-14,IR-64,2314,Medium,Normal
2019-03-14,Jyothi,2334,High,Normal
2019-03-14,MTU-1010,2690,Medium,Normal
2019-03-21,BPT-5204,2676,Low,Normal
2019-03-21,JGL-1798,2474,High,Normal
2019-03-21,IR-64,2351,Medium,Deficit
2019-03-21,Jyothi,2220,Low,Deficit
2019-03-21,MTU-1010,2681,Medium,Normal
2019-03-28,BPT-5204,2586,Medium,Deficit
2019-03-28,JGL-1798,2541,Medium,Surplus
2019-03-28,IR-64,2335,Medium,Surplus
2019-03-28,Jyothi,2318,Low,Surplus
2019-03-28,MTU-1010,2587,Low,Surplus
2019-04-04,BPT-5204,2612,Medium,Surplus
2019-04-04,JGL-1798,2445,High,Normal
2019-04-04,IR-64,2499,High,Surplus
2019-04-04,Jyothi,2351,High,Surplus
2019-04-04,MTU-1010,2521,High,Surplus
2019-04-11,BPT-5204,2741,Medium,Normal
2019-04-11,JGL-1798,2529,Low,Deficit
2019-04-11,IR-64,2415,Low,Normal
2019-04-11,Jyothi,2221,Low,Normal
2019-04-11,MTU-1010,2664,Medium,Normal
2019-04-18,BPT-5204,2648,Medium,Normal
2019-04-18,JGL-1798,2500,High,Normal
2019-04-18,IR-64,2445,High,Surplus
2019-04-18,Jyothi,2302,High,Deficit
2019-04-18,MTU-1010,2463,High,Normal
2019-04-25,BPT-5204,2694,High,Normal
2019-04-25,JGL-1798,2638,High,Deficit
2019-04-25,IR-64,2399,Medium,Normal
2019-04-25,Jyothi,2259,High,Surplus
2019-04-25,MTU-1010,2554,High,Deficit
2019-05-02,BPT-5204,2529,High,Deficit
2019-05-02,JGL-1798,2504,Medium,Surplus
2019-05-02,IR-64,2363,Low,Surplus
2019-05-02,Jyothi,2341,Low,Deficit
2019-05-02,MTU-1010,2619,Medium,Surplus
2019-05-09,BPT-5204,2514,Medium,Deficit
2019-05-09,JGL-1798,2496,Low,Surplus
2019-05-09,IR-64,2316,Medium,Surplus
2019-05-09,Jyothi,2311,High,Deficit
2019-05-09,MTU-1010,2605,High,Normal
2019-05-16,BPT-5204,2646,Low,Normal
2019-05-16,JGL-1798,2410,Low,Normal
2019-05-16,IR-64,2482,Medium,Normal
2019-05-16,Jyothi,2321,Low,Normal
2019-05-16,MTU-1010,2469,Low,Deficit
2019-05-23,BPT-5204,2555,High,Surplus
2019-05-23,JGL-1798,2493,High,Normal
2019-05-23,IR-64,2441,High,Surplus
2019-05-23,Jyothi,2226,High,Surplus
2019-05-23,MTU-1010,2515,Low,Deficit
2019-05-30,BPT-5204,2565,Low,Deficit
2019-05-30,JGL-1798,2541,Medium,Normal
2019-05-30,IR-64,2472,Low,Normal
2019-05-30,Jyothi,2251,Medium,Normal
2019-05-30,MTU-1010,2603,Medium,Deficit
2019-06-06,BPT-5204,2827,Medium,Deficit
2019-06-06,JGL-1798,2665,Low,Surplus
2019-06-06,IR-64,2530,Medium,Surplus
