Year,Numeric_Year,Season,District,Region,Soil_Quality,Area_Hectares,Production_Tonnes,Yield_Kg_per_Ha,Irrigation_Percent,Rainfall_mm,Temperature_Celsius,Humidity_Percent,Soil_pH,Soil_Organic_Carbon_Percent,Soil_Nitrogen_kg_per_ha,Soil_Phosphorus_kg_per_ha,Soil_Potassium_kg_per_ha,Urea_Applied_kg_per_ha,DAP_Applied_kg_per_ha,Potash_Applied_kg_per_ha,Organic_Fertilizer_kg_per_ha,Pest_Incidence,Disease_Incidence,Pesticide_Sprays,Seed_Variety,Sowing_Method,Water_Management,Weed_Management,Labor_Days_per_ha,Tractor_Hours_per_ha,Harvester_Used,Cost_of_Cultivation_Rs_per_ha,Market_Price_Rs_per_quintal,Gross_Revenue_Rs_per_ha,Net_Income_Rs_per_ha
2012-13,2012,Kharif,Yadgir,North,medium-low,23411,58902,2516,51,648,31.5,64,7.3,0.71,152.1,23.9,116.7,157,110,31,1179,Low,High,6,JGL-1798,Transplanting,Sprinkler,Mixed,113,32,No,39631,2484,62497,22866
2012-13,2012,Rabi,Yadgir,North,medium-low,10528,21624,2054,51,369,22.4,65,6.09,0.4,254.5,15.4,169.7,101,58,54,1852,Medium,High,4,MTU-1010,Transplanting,Flood Irrigation,Herbicide,129,22,No,51663,1901,39046,-12616
2013-14,2013,Kharif,Bagalkot,North,medium,55218,171231,3101,69,1011,27.3,65,6.3,0.78,234.1,24.2,106.0,167,89,51,1503,Medium,High,3,BPT-5204,Direct Seeding,Sprinkler,Herbicide,125,35,No,42739,2313,71726,28987
2013-14,2013,Rabi,Bagalkot,North,medium,16019,51981,3245,69,231,30.8,60,7.42,0.77,183.8,16.8,158.9,117,61,76,1282,High,High,6,MTU-1010,SRI,Sprinkler,Manual,133,22,Yes,48974,2119,68761,19787
2013-14,2013,Kharif,Ballari,North,high,86226,377928,4383,80,955,23.3,80,6.21,0.57,270.0,27.3,146.3,190,117,38,1380,Low,High,6,JGL-1798,Direct Seeding,Flood Irrigation,Mixed,148,38,Yes,41033,2125,93138,52105
2013-14,2013,Rabi,Ballari,North,high,26346,117582,4463,80,263,30.8,73,7.44,0.45,261.8,26.4,195.5,194,85,39,884,Low,Low,3,BPT-5204,SRI,Sprinkler,Herbicide,109,34,Yes,42566,1826,81494,38928
2013-14,2013,Kharif,Belagavi,North,medium-low,33131,76466,2308,58,1198,26.8,76,7.27,0.53,247.4,13.7,158.1,160,67,40,895,Low,Low,5,MTU-1010,Transplanting,Drip,Herbicide,108,38,Yes,41703,1867,43090,1387
2013-14,2013,Rabi,Belagavi,North,medium-low,13862,37233,2686,58,324,30.7,75,7.03,0.73,283.1,18.6,216.4,177,98,76,1140,Medium,High,6,Intan,SRI,Sprinkler,Mixed,84,31,Yes,49798,2267,60891,11093
2013-14,2013,Kharif,Bengaluru Rural,South,medium,52101,169692,3257,63,651,27.2,72,7.48,0.32,208.1,25.3,244.4,124,87,58,1315,Medium,Medium,5,JGL-1798,Direct Seeding,Drip,Mixed,86,37,Yes,50190,2461,80154,29964
2013-14,2013,Rabi,Bengaluru Rural,South,medium,19859,46450,2339,63,356,23.1,84,6.88,0.75,232.0,17.9,148.5,103,72,59,1708,High,Low,5,BPT-5204,Direct Seeding,Drip,Mixed,100,37,Yes,37988,1916,44815,6827
2013-14,2013,Kharif,Bidar,North,medium-low,47203,115647,2450,54,771,22.9,82,6.58,0.7,226.7,29.0,156.8,148,55,79,849,Medium,High,3,JGL-1798,Transplanting,Flood Irrigation,Mixed,86,28,No,45142,2256,55272,10130
2013-14,2013,Rabi,Bidar,North,medium-low,16300,38125,2339,54,160,31.0,66,6.01,0.68,151.8,20.0,174.8,100,113,45,944,High,High,5,Jyothi,Direct Seeding,Drip,Manual,80,22,No,53269,2012,47060,-6208
2013-14,2013,Kharif,Chamarajanagar,South,medium,20546,52001,2531,60,456,28.5,61,6.22,0.32,236.7,22.1,149.7,111,56,36,1353,Low,Low,4,Intan,SRI,Sprinkler,Mixed,102,29,No,36174,1895,47962,11788
2013-14,2013,Rabi,Chamarajanagar,South,medium,26777,63756,2381,60,288,31.0,62,7.14,0.72,159.7,19.4,118.3,135,92,63,1347,High,Low,3,Intan,Transplanting,Flood Irrigation,Mixed,147,17,No,54817,2094,49858,-4958
2013-14,2013,Kharif,Chikkaballapura,South,medium,35881,102906,2868,59,724,24.6,78,7.49,0.48,169.5,21.3,178.0,180,113,61,868,High,Low,4,JGL-1798,Transplanting,Flood Irrigation,Manual,139,35,Yes,41793,2430,69692,27899
2013-14,2013,Rabi,Chikkaballapura,South,medium,19049,46803,2457,59,270,25.5,85,6.96,0.31,180.2,15.6,218.5,139,88,62,1626,Medium,Low,2,Rasi,Direct Seeding,Drip,Herbicide,83,20,Yes,45830,2146,52727,6897
2013-14,2013,Kharif,Chikkamagaluru,South,medium,45834,148456,3239,65,885,30.0,80,6.2,0.38,219.1,27.3,234.4,159,102,77,614,High,Medium,6,Rasi,SRI,Drip,Mixed,148,15,Yes,53920,2139,69282,15362
2013-14,2013,Rabi,Chikkamagaluru,South,medium,27454,91037,3316,65,281,22.7,64,6.42,0.32,297.5,22.5,226.4,173,99,41,1718,Low,Medium,4,Rasi,Transplanting,Drip,Herbicide,91,30,Yes,47176,2262,75007,27831
2013-14,2013,Kharif,Chitradurga,Central,medium-low,52200,159627,3058,58,621,27.3,65,6.17,0.69,266.7,28.3,166.6,103,111,62,815,Low,Medium,5,Rasi,SRI,Drip,Herbicide,98,39,Yes,51913,2492,76205,24292
2013-14,2013,Rabi,Chitradurga,Central,medium-low,12893,28854,2238,58,118,26.6,82,7.3,0.36,196.6,10.9,227.2,111,92,59,594,Low,High,4,BPT-5204,SRI,Drip,Mixed,106,25,Yes,41309,2093,46841,5532
2013-14,2013,Kharif,Dakshina Kannada,Coastal,medium-low,29781,76239,2560,55,1191,26.4,63,6.41,0.38,167.2,29.2,183.9,113,76,64,1217,High,Medium,4,JGL-1798,SRI,Drip,Mixed,111,20,Yes,45203,2427,62131,16928
2013-14,2013,Rabi,Dakshina Kannada,Coastal,medium-low,29479,64617,2192,55,327,22.5,60,6.71,0.64,165.9,11.1,164.0,122,107,69,1228,Medium,Medium,3,Rasi,SRI,Sprinkler,Manual,139,33,Yes,38044,2279,49955,11911
2013-14,2013,Kharif,Davanagere,Central,high,45016,200411,4452,78,1100,28.4,84,6.7,0.42,183.6,27.2,192.5,146,100,41,1932,High,Medium,4,Jyothi,Direct Seeding,Flood Irrigation,Manual,140,18,No,50684,2272,101149,50465
2013-14,2013,Rabi,Davanagere,Central,high,27450,104968,3824,78,278,28.0,64,6.76,0.5,257.1,12.1,183.4,109,88,64,1444,Medium,High,5,JGL-1798,SRI,Flood Irrigation,Mixed,100,30,No,37164,2148,82139,44975
2013-14,2013,Kharif,Dharwad,North,medium,27007,91904,3403,67,1005,26.3,73,6.85,0.47,254.1,13.5,200.4,194,112,37,1712,High,Medium,4,Intan,Transplanting,Drip,Manual,119,27,Yes,54603,1911,65031,10428
2013-14,2013,Rabi,Dharwad,North,medium,24964,77013,3085,67,294,25.3,80,6.99,0.35,272.6,27.7,235.5,181,50,78,800,High,Low,5,Intan,Direct Seeding,Drip,Mixed,137,21,Yes,45374,2106,64970,19596
2013-14,2013,Kharif,Gadag,North,medium,41689,138740,3328,60,1095,25.0,73,7.08,0.76,298.5,21.7,191.7,165,101,38,1102,Low,Medium,6,BPT-5204,Transplanting,Sprinkler,Mixed,125,18,No,36021,2040,67891,31870
2013-14,2013,Rabi,Gadag,North,medium,19422,57120,2941,60,301,28.3,82,6.57,0.49,231.8,23.2,171.2,124,99,53,1354,Low,Medium,3,JGL-1798,Transplanting,Flood Irrigation,Mixed,82,19,No,49310,1939,57025,7715
2013-14,2013,Kharif,Hassan,South,medium,21996,66119,3006,68,825,30.6,85,7.04,0.77,243.5,19.1,163.6,157,99,52,962,Low,Medium,6,BPT-5204,SRI,Drip,Mixed,110,37,No,48462,2359,70911,22449
2013-14,2013,Rabi,Hassan,South,medium,22580,66204,2932,68,119,27.7,82,6.55,0.59,294.3,11.6,209.5,167,85,59,1558,Low,High,6,BPT-5204,Transplanting,Drip,Mixed,89,36,No,36729,2151,63067,26338
2013-14,2013,Kharif,Haveri,North,medium,40259,137403,3413,62,880,26.5,75,6.86,0.47,202.9,29.6,144.2,121,54,74,1723,High,Medium,6,IR-64,Transplanting,Sprinkler,Herbicide,101,33,Yes,44560,2439,83243,38683
2013-14,2013,Rabi,Haveri,North,medium,10591,28394,2681,62,142,23.3,62,7.28,0.44,169.9,15.6,228.7,101,64,68,857,High,High,3,Rasi,Direct Seeding,Drip,Manual,113,40,Yes,50889,1985,53217,2328
2013-14,2013,Kharif,Kalaburagi,North,medium-low,50979,133412,2617,57,433,25.4,62,7.45,0.6,273.3,26.8,212.9,152,99,45,1853,Medium,High,3,JGL-1798,SRI,Sprinkler,Herbicide,86,35,No,38800,1853,48493,9693
2013-14,2013,Rabi,Kalaburagi,North,medium-low,13654,31813,2330,57,343,25.0,83,7.42,0.76,185.0,23.7,158.5,133,68,63,1390,Low,Medium,5,Jyothi,SRI,Drip,Mixed,85,18,No,49148,2425,56502,7354
2013-14,2013,Kharif,Kodagu,South,low,45006,109769,2439,48,743,24.7,85,6.15,0.63,208.7,25.5,212.4,193,74,63,1191,High,High,3,IR-64,SRI,Flood Irrigation,Mixed,81,17,Yes,48475,1900,46341,-2134
2013-14,2013,Rabi,Kodagu,South,low,21464,38034,1772,48,328,25.5,83,6.42,0.4,153.6,11.8,240.8,184,77,68,1806,Low,High,2,BPT-5204,SRI,Flood Irrigation,Herbicide,103,18,Yes,43301,2101,37229,-6071
2013-14,2013,Kharif,Kolar,South,medium,37499,112646,3004,61,477,28.4,68,7.15,0.65,250.1,25.4,138.6,199,59,47,627,Medium,Medium,4,BPT-5204,Direct Seeding,Drip,Manual,136,17,No,41575,2424,72816,31241
2013-14,2013,Rabi,Kolar,South,medium,18568,43746,2356,61,351,23.1,77,7.15,0.41,246.5,28.3,207.3,113,54,34,644,High,High,4,MTU-1010,Direct Seeding,Flood Irrigation,Herbicide,99,35,Yes,36239,2480,58428,22189
2013-14,2013,Kharif,Koppal,North,high,68797,310412,4512,85,1116,25.3,72,6.86,0.56,291.0,19.8,165.4,193,58,64,962,Low,Medium,5,BPT-5204,SRI,Sprinkler,Herbicide,122,36,No,48127,1856,83742,35615
2013-14,2013,Rabi,Koppal,North,high,47604,239781,5037,85,146,25.7,70,6.12,0.53,265.0,23.0,126.5,105,99,72,891,Medium,High,5,BPT-5204,SRI,Sprinkler,Herbicide,142,17,No,41208,1943,97868,56660
2013-14,2013,Kharif,Mandya,South,high,40021,182175,4552,90,1137,32.0,67,6.73,0.33,231.1,16.2,180.1,157,52,32,1194,Low,Medium,2,Jyothi,Transplanting,Flood Irrigation,Mixed,146,29,Yes,53984,2038,92769,38785
2013-14,2013,Rabi,Mandya,South,high,23137,90558,3914,90,172,26.9,60,6.71,0.76,156.9,24.0,119.6,122,56,49,699,Medium,High,3,MTU-1010,SRI,Flood Irrigation,Manual,94,30,Yes,37067,2007,78553,41486
2013-14,2013,Kharif,Mysuru,South,medium,35847,118115,3295,70,1155,28.8,70,6.18,0.64,231.9,16.4,244.7,127,55,67,855,Medium,Low,2,IR-64,Transplanting,Drip,Manual,127,32,Yes,49374,2049,67514,18140
2013-14,2013,Rabi,Mysuru,South,medium,22703,61593,2713,70,151,29.9,80,6.92,0.69,152.3,19.7,101.0,122,61,75,1834,High,Medium,5,Rasi,Direct Seeding,Sprinkler,Manual,106,19,No,52140,2261,61340,9200
2013-14,2013,Kharif,Raichur,North,high,70544,307430,4358,82,578,28.1,61,6.89,0.66,241.8,11.8,224.0,138,94,56,509,High,Low,3,BPT-5204,SRI,Flood Irrigation,Mixed,126,39,Yes,50211,2441,106378,56167
2013-14,2013,Rabi,Raichur,North,high,48785,190700,3909,82,127,23.9,85,6.22,0.72,286.7,20.0,124.0,105,56,71,1245,Medium,Low,5,IR-64,Direct Seeding,Sprinkler,Herbicide,85,18,Yes,52608,1980,77398,24790
2013-14,2013,Kharif,Ramanagara,South,medium,24971,82878,3319,66,896,27.1,62,7.34,0.66,238.9,16.5,129.8,186,91,44,725,Medium,Low,2,JGL-1798,SRI,Drip,Manual,128,22,Yes,50433,2399,79622,29189
2013-14,2013,Rabi,Ramanagara,South,medium,20573,49642,2413,66,323,23.4,79,6.68,0.49,170.5,24.4,194.8,134,75,51,760,Low,High,6,BPT-5204,Direct Seeding,Flood Irrigation,Manual,139,29,No,40609,2151,51903,11294
2013-14,2013,Kharif,Shivamogga,Central,high,54958,277757,5054,75,1018,23.6,85,6.96,0.61,175.5,29.4,228.3,111,102,63,1501,Low,High,5,MTU-1010,Direct Seeding,Drip,Manual,134,38,Yes,43120,2135,107902,64782
2013-14,2013,Rabi,Shivamogga,Central,high,38956,163809,4205,75,176,31.1,60,6.63,0.32,298.7,24.7,175.6,154,117,55,1481,High,Low,5,Jyothi,Transplanting,Flood Irrigation,Mixed,81,37,No,42143,1935,81366,39223
2013-14,2013,Kharif,Tumakuru,South,medium,33098,92409,2792,64,1063,32.0,60,6.72,0.45,255.5,27.2,212.1,103,108,59,783,High,Medium,3,MTU-1010,Direct Seeding,Sprinkler,Herbicide,80,35,Yes,47611,2140,59748,12137
2013-14,2013,Rabi,Tumakuru,South,medium,21588,50170,2324,64,318,29.5,82,7.42,0.57,269.2,25.8,112.1,142,57,62,1881,Medium,Low,2,Jyothi,Direct Seeding,Drip,Mixed,85,26,No,40743,2463,57240,16497
2013-14,2013,Kharif,Udupi,Coastal,medium-low,41224,106646,2587,52,974,29.1,66,6.21,0.47,230.9,23.0,210.6,196,76,78,961,Medium,Medium,4,Intan,SRI,Drip,Herbicide,86,17,No,46312,2263,58543,12231
2013-14,2013,Rabi,Udupi,Coastal,medium-low,20612,45655,2215,52,162,26.7,77,7.02,0.57,193.8,22.4,220.0,188,58,42,1437,Low,Low,5,JGL-1798,Direct Seeding,Flood Irrigation,Manual,101,23,Yes,39848,2308,51122,11274
2013-14,2013,Kharif,Uttara Kannada,Coastal,medium-low,24666,64501,2615,50,933,31.5,60,6.44,0.78,231.2,12.6,152.0,156,52,48,887,Low,Low,3,MTU-1010,SRI,Sprinkler,Herbicide,132,33,No,45692,2297,60066,14374
2013-14,2013,Rabi,Uttara Kannada,Coastal,medium-low,22952,51435,2241,50,371,30.4,74,6.69,0.58,284.7,16.1,218.4,129,111,53,1090,Low,Low,4,IR-64,Direct Seeding,Flood Irrigation,Mixed,100,37,No,40972,1979,44349,3377
2013-14,2013,Kharif,Vijayapura,North,medium-low,52600,142072,2701,56,1082,29.9,65,6.36,0.32,197.5,12.5,139.1,123,76,65,1948,Low,High,4,IR-64,Transplanting,Drip,Herbicide,149,20,No,38980,1825,49293,10313
2013-14,2013,Rabi,Vijayapura,North,medium-low,18829,48955,2600,56,174,31.5,70,6.23,0.79,231.9,20.1,197.1,137,110,48,1674,High,Low,6,Rasi,Direct Seeding,Drip,Mixed,94,38,No,36313,1942,50492,14179
2013-14,2013,Kharif,Yadgir,North,medium-low,46057,110582,2401,51,715,22.2,79,7.26,0.52,163.9,11.1,196.2,174,117,44,1069,Low,Low,2,Intan,Direct Seeding,Sprinkler,Mixed,91,31,No,41371,2302,55271,13900
2013-14,2013,Rabi,Yadgir,North,medium-low,16934,37441,2211,51,361,31.4,81,6.54,0.37,278.1,17.4,155.9,136,94,52,1130,Medium,High,2,JGL-1798,SRI,Drip,Mixed,133,40,No,44457,1967,43490,-966
2014-15,2014,Kharif,Bagalkot,North,medium,50590,177823,3515,69,834,29.3,73,6.21,0.59,162.9,14.2,171.2,167,92,34,1709,Medium,Low,2,Jyothi,SRI,Drip,Herbicide,102,32,No,53609,1940,68191,14582
2014-15,2014,Rabi,Bagalkot,North,medium,14165,38429,2713,69,295,24.9,75,6.06,0.71,275.2,16.1,183.9,159,78,31,505,Low,Medium,4,Rasi,SRI,Drip,Manual,116,28,Yes,51118,2460,66739,15621
2014-15,2014,Kharif,Ballari,North,high,56258,224300,3987,80,1183,24.8,62,6.9,0.48,222.1,18.7,138.7,187,110,74,744,Medium,High,6,BPT-5204,Direct Seeding,Flood Irrigation,Mixed,87,19,No,50107,1938,77268,27161
2014-15,2014,Rabi,Ballari,North,high,35150,132902,3781,80,239,25.6,80,7.37,0.48,193.5,20.6,240.4,165,74,79,1786,Low,Low,6,MTU-1010,Transplanting,Sprinkler,Herbicide,120,36,No,43895,2171,82085,38190
2014-15,2014,Kharif,Belagavi,North,medium-low,22166,59294,2675,58,760,30.2,60,6.21,0.44,266.8,18.2,238.1,120,63,43,816,High,Low,3,MTU-1010,SRI,Sprinkler,Mixed,147,32,Yes,48675,2271,60749,12074
2014-15,2014,Rabi,Belagavi,North,medium-low,11516,24586,2135,58,167,31.2,75,6.52,0.65,170.9,18.8,248.1,166,93,41,1953,Medium,Low,2,JGL-1798,Transplanting,Sprinkler,Manual,109,24,Yes,41876,1933,41269,-606
2014-15,2014,Kharif,Bengaluru Rural,South,medium,21476,61893,2882,63,1181,29.8,62,6.03,0.54,214.7,13.9,104.9,184,115,67,621,Medium,Low,4,BPT-5204,Transplanting,Drip,Mixed,81,39,Yes,39056,2416,69629,30573
2014-15,2014,Rabi,Bengaluru Rural,South,medium,14298,39190,2741,63,202,23.8,71,6.04,0.37,261.9,15.5,187.0,145,70,62,1992,High,Low,6,Intan,Transplanting,Flood Irrigation,Mixed,81,31,Yes,41276,2088,57232,15956
2014-15,2014,Kharif,Bidar,North,medium-low,25207,70428,2794,54,950,22.0,83,6.15,0.41,225.6,24.2,155.0,175,73,58,1879,Low,Low,4,Jyothi,Direct Seeding,Flood Irrigation,Mixed,109,28,Yes,45298,1926,53812,8514
2014-15,2014,Rabi,Bidar,North,medium-low,19915,40108,2014,54,169,27.0,71,7.06,0.58,156.1,16.6,117.4,136,108,68,1138,High,Medium,3,Intan,Direct Seeding,Drip,Herbicide,104,17,No,47040,1983,39937,-7102
2014-15,2014,Kharif,Chamarajanagar,South,medium,18839,60529,3213,60,903,28.7,72,6.66,0.63,162.8,12.9,160.1,175,63,77,845,Low,Medium,3,IR-64,Transplanting,Sprinkler,Herbicide,95,22,No,51354,2085,66991,15637
2014-15,2014,Rabi,Chamarajanagar,South,medium,26359,71248,2703,60,397,27.9,84,7.18,0.62,210.0,19.5,190.5,151,112,62,1071,Low,Medium,2,BPT-5204,Direct Seeding,Drip,Herbicide,109,35,Yes,35973,1901,51384,15411
2014-15,2014,Kharif,Chikkaballapura,South,medium,47872,116281,2429,59,469,27.0,60,7.46,0.49,251.9,13.1,193.3,112,59,72,1564,Medium,Medium,3,IR-64,SRI,Drip,Herbicide,144,23,No,52712,2359,57300,4588
2014-15,2014,Rabi,Chikkaballapura,South,medium,10250,29407,2869,59,116,31.9,63,6.58,0.46,206.5,19.2,104.9,171,88,75,836,Medium,Medium,3,IR-64,SRI,Drip,Herbicide,94,33,No,53146,2352,67478,14332
2014-15,2014,Kharif,Chikkamagaluru,South,medium,41242,133830,3245,65,975,30.5,76,6.08,0.43,238.7,17.6,201.5,198,86,50,625,Low,High,2,JGL-1798,Direct Seeding,Drip,Mixed,83,39,No,47470,1899,61622,14152
2014-15,2014,Rabi,Chikkamagaluru,South,medium,19100,54148,2835,65,282,26.1,61,6.99,0.42,247.2,21.9,236.6,108,89,37,1191,Low,Low,6,IR-64,Transplanting,Drip,Mixed,134,33,No,43736,1820,51597,7861
2014-15,2014,Kharif,Chitradurga,Central,medium-low,46196,124359,2692,58,422,31.9,72,6.86,0.46,164.7,19.8,203.6,126,93,61,1529,High,Medium,3,Intan,Direct Seeding,Drip,Herbicide,105,30,Yes,52558,2019,54351,1793
2014-15,2014,Rabi,Chitradurga,Central,medium-low,16065,36885,2296,58,252,32.0,72,7.21,0.61,293.7,24.4,186.7,175,93,47,637,High,High,5,Jyothi,Transplanting,Drip,Manual,118,31,No,49185,2479,56917,7732
2014-15,2014,Kharif,Dakshina Kannada,Coastal,medium-low,39950,96399,2413,55,824,26.0,79,6.77,0.64,232.1,27.6,194.2,166,73,66,1522,Low,High,5,IR-64,SRI,Sprinkler,Mixed,135,33,Yes,52113,2005,48380,-3732
2014-15,2014,Rabi,Dakshina Kannada,Coastal,medium-low,17723,40585,2290,55,223,23.5,81,7.15,0.72,211.5,27.2,236.7,181,76,56,1046,Medium,High,3,IR-64,SRI,Sprinkler,Manual,131,22,Yes,39913,1996,45708,5795
2014-15,2014,Kharif,Davanagere,Central,high,38877,162739,4186,78,717,26.6,77,7.49,0.51,285.8,14.0,140.9,103,83,80,1068,High,High,3,Rasi,Transplanting,Sprinkler,Herbicide,82,16,Yes,45286,2416,101133,55847
2014-15,2014,Rabi,Davanagere,Central,high,32589,148149,4546,78,308,31.0,81,6.99,0.35,291.5,24.5,121.1,114,114,37,1568,High,High,6,IR-64,Direct Seeding,Flood Irrigation,Manual,95,39,No,45790,2398,109013,63223
2014-15,2014,Kharif,Dharwad,North,medium,47849,144934,3029,67,1166,29.4,73,6.33,0.35,182.1,15.5,161.3,175,57,61,1592,Medium,High,2,IR-64,SRI,Drip,Herbicide,111,23,Yes,46894,2286,69242,22348
2014-15,2014,Rabi,Dharwad,North,medium,25300,69069,2730,67,257,22.2,79,6.05,0.67,269.8,11.1,237.6,185,80,46,1631,Medium,Medium,4,MTU-1010,SRI,Flood Irrigation,Mixed,110,29,No,35257,2202,60114,24857
2014-15,2014,Kharif,Gadag,North,medium,28561,82769,2898,60,1174,24.4,66,7.29,0.38,215.8,16.3,221.8,182,102,80,569,Medium,Low,5,Jyothi,SRI,Drip,Herbicide,134,18,Yes,43551,2318,67175,23624
2014-15,2014,Rabi,Gadag,North,medium,11300,30182,2671,60,380,29.4,74,7.04,0.68,246.2,13.7,166.5,182,67,30,1320,Low,High,4,IR-64,SRI,Flood Irrigation,Manual,100,22,Yes,54464,2220,59296,4832
2014-15,2014,Kharif,Hassan,South,medium,50068,191109,3817,68,862,26.8,83,6.2,0.39,239.0,16.6,142.3,110,103,53,872,Medium,Medium,6,JGL-1798,Transplanting,Flood Irrigation,Mixed,109,17,No,41496,2068,78935,37439
2014-15,2014,Rabi,Hassan,South,medium,24989,84512,3382,68,125,26.0,73,6.9,0.37,293.7,13.4,185.1,101,117,57,1429,High,Medium,2,JGL-1798,SRI,Flood Irrigation,Manual,114,24,No,47519,1933,65374,17855
2014-15,2014,Kharif,Haveri,North,medium,35600,124600,3500,62,1014,24.2,69,7.09,0.39,177.1,25.8,104.3,133,80,69,1423,Low,Medium,6,Rasi,SRI,Drip,Manual,81,30,Yes,45592,2207,77245,31653
2014-15,2014,Rabi,Haveri,North,medium,24678,64977,2633,62,296,29.1,83,6.9,0.34,233.5,11.0,239.7,160,95,68,1873,High,High,2,BPT-5204,Direct Seeding,Sprinkler,Mixed,128,24,No,47153,1935,50948,3795
2014-15,2014,Kharif,Kalaburagi,North,medium-low,54055,143570,2656,57,994,23.8,65,6.76,0.77,281.7,12.6,147.6,167,105,39,1033,Low,Medium,2,JGL-1798,Direct Seeding,Drip,Mixed,126,28,No,43625,2427,64461,20836
2014-15,2014,Rabi,Kalaburagi,North,medium-low,27756,70777,2550,57,235,27.2,73,7.34,0.46,299.2,25.3,122.7,184,106,33,886,Low,Low,3,JGL-1798,Transplanting,Drip,Herbicide,100,37,No,49300,1918,48909,-391
2014-15,2014,Kharif,Kodagu,South,low,54174,135326,2498,48,441,26.4,82,6.84,0.53,166.9,24.4,122.2,144,61,43,1081,Low,Low,6,MTU-1010,Direct Seeding,Sprinkler,Mixed,107,33,Yes,52236,2384,59552,7316
2014-15,2014,Rabi,Kodagu,South,low,13762,27097,1969,48,139,24.5,75,7.02,0.74,153.9,23.6,202.1,150,97,67,717,Medium,Low,2,BPT-5204,Direct Seeding,Sprinkler,Mixed,141,29,No,54470,2473,48693,-5776
2014-15,2014,Kharif,Kolar,South,medium,18561,50857,2740,61,444,28.6,74,6.49,0.67,260.1,29.1,185.4,127,56,71,1079,Medium,Low,2,Intan,SRI,Drip,Manual,131,23,Yes,42866,2208,60499,17633
2014-15,2014,Rabi,Kolar,South,medium,11792,26532,2250,61,206,23.6,84,6.6,0.62,293.2,13.1,144.8,155,89,73,1735,Low,Medium,2,MTU-1010,Direct Seeding,Sprinkler,Manual,142,29,No,50611,2074,46665,-3946
2014-15,2014,Kharif,Koppal,North,high,81751,409327,5007,85,492,29.6,85,6.55,0.39,244.6,11.9,177.0,159,78,71,1905,High,Low,5,Intan,SRI,Sprinkler,Mixed,90,24,No,49331,1881,94181,44850
2014-15,2014,Rabi,Koppal,North,high,40335,167269,4147,85,165,28.8,69,7.26,0.56,194.3,11.0,111.5,105,115,36,1545,Medium,Medium,2,Jyothi,SRI,Sprinkler,Mixed,112,26,No,54187,1883,78088,23901
2014-15,2014,Kharif,Mandya,South,high,76976,331381,4305,90,1158,28.6,65,7.18,0.72,156.8,18.3,205.7,140,108,78,1872,Medium,High,4,IR-64,Transplanting,Flood Irrigation,Manual,90,38,No,38484,2244,96604,58120
2014-15,2014,Rabi,Mandya,South,high,42782,167020,3904,90,302,23.2,65,6.98,0.53,210.8,23.2,211.6,192,112,49,1766,High,Medium,5,MTU-1010,Direct Seeding,Flood Irrigation,Manual,97,15,Yes,38667,1816,70896,32229
2014-15,2014,Kharif,Mysuru,South,medium,46199,182809,3957,70,427,24.1,80,6.22,0.42,276.3,27.2,180.8,111,88,79,1449,Low,Medium,5,BPT-5204,Transplanting,Flood Irrigation,Manual,136,30,No,35643,2260,89428,53785
2014-15,2014,Rabi,Mysuru,South,medium,22487,65549,2915,70,250,27.7,72,6.08,0.3,244.6,24.3,246.9,163,120,48,575,Medium,Medium,5,Intan,SRI,Sprinkler,Mixed,142,22,Yes,52311,1819,53023,712
2014-15,2014,Kharif,Raichur,North,high,70454,341349,4845,82,966,22.6,80,6.63,0.54,224.2,28.8,152.0,189,105,31,830,Medium,High,3,Jyothi,Direct Seeding,Drip,Manual,144,22,No,54729,2472,119768,65039
2014-15,2014,Rabi,Raichur,North,high,39940,152850,3827,82,250,29.2,72,7.44,0.72,251.0,24.7,219.4,120,76,48,1914,High,Low,5,JGL-1798,Transplanting,Flood Irrigation,Manual,142,18,No,51178,2110,80749,29571
2014-15,2014,Kharif,Ramanagara,South,medium,27727,78051,2815,66,448,32.0,71,7.32,0.48,173.8,26.6,234.2,104,58,51,1381,Low,High,3,BPT-5204,SRI,Flood Irrigation,Herbicide,113,25,No,36529,2370,66715,30186
2014-15,2014,Rabi,Ramanagara,South,medium,15637,48693,3114,66,363,28.0,63,7.06,0.76,215.7,19.1,226.2,114,63,80,1750,High,Low,6,BPT-5204,SRI,Flood Irrigation,Manual,95,21,No,40145,2099,65362,25217
2014-15,2014,Kharif,Shivamogga,Central,high,93372,417559,4472,75,918,27.0,63,6.23,0.48,272.9,12.5,130.3,153,50,45,1470,Medium,Medium,6,JGL-1798,Transplanting,Drip,Herbicide,133,26,Yes,39967,2342,104734,64767
2014-15,2014,Rabi,Shivamogga,Central,high,37924,169634,4473,75,170,30.0,73,7.38,0.75,292.8,20.3,202.3,103,106,39,520,High,High,2,BPT-5204,Direct Seeding,Drip,Herbicide,101,28,Yes,47886,1837,82169,34283
2014-15,2014,Kharif,Tumakuru,South,medium,44764,150138,3354,64,554,31.0,61,7.47,0.79,269.9,27.5,245.9,153,101,73,1935,High,Medium,4,IR-64,Transplanting,Drip,Mixed,98,37,No,49620,2459,82474,32854
2014-15,2014,Rabi,Tumakuru,South,medium,14291,43073,3014,64,326,29.0,85,7.17,0.5,179.6,16.0,105.5,142,99,76,1972,High,Low,6,Intan,Direct Seeding,Flood Irrigation,Manual,145,32,No,52083,2148,64740,12657
